dimer,Metal,Ligand,M_M_Distance,Shortest_M_N,Monomer_Slippage,HX_nearest
Ag_1,Ag,CN,3.0375,2.0693,1.0665,
Ag_2,Ag,CN,3.0125,2.0885,2.131,
Ag_3,Ag,CN,3.025,2.065,4.0887,
Ag_4,Ag,CN,3.0125,2.0594,2.1595,
Ag_5,Ag,CN,3.0375,2.0685,2.1696,
Ag_6,Ag,CN,3.0375,2.069,2.1351,
Ag_7,Ag,CN,3.025,2.0795,1.0745,
Ag_8,Ag,CN,3.0125,2.0866,1.0339,
Ag_9,Ag,CN,2.9875,2.1056,2.1098,
Ag_10,Ag,CN,3.0,2.0829,4.0853,
Ag_11,Ag,CN,3.0,2.0768,2.1386,
Ag_12,Ag,CN,3.0125,2.0834,2.1466,
Ag_13,Ag,CN,3.025,2.0833,2.1115,
Ag_14,Ag,CN,3.0125,2.0945,1.0405,
Ag_15,Ag,CN,3.0,2.1108,0.9937,
Ag_16,Ag,CN,2.975,2.1298,2.0848,
Ag_17,Ag,CN,2.9875,2.1089,4.0842,
Ag_18,Ag,CN,2.9875,2.1007,2.1129,
Ag_19,Ag,CN,3.0,2.1051,2.1193,
Ag_20,Ag,CN,3.0125,2.1037,2.0833,
Ag_21,Ag,CN,3.0,2.1163,0.9988,
Ag_22,Ag,CN,3.075,2.0834,0.0399,
Ag_23,Ag,CN,3.0625,2.1087,1.1056,
Ag_24,Ag,CN,3.05,2.0827,3.1939,
Ag_25,Ag,CN,3.05,2.0822,1.1307,
Ag_26,Ag,CN,3.075,2.0787,1.1302,
Ag_27,Ag,CN,3.075,2.0769,1.1017,
Ag_28,Ag,CN,3.0625,2.0874,0.0506,
Ag_29,Ag,Py,2.925,2.13,3.3204,3.6755
Ag_30,Ag,Py,2.925,2.1296,3.9221,2.6042
Ag_31,Ag,Py,2.925,2.1334,5.4048,2.5029
Ag_32,Ag,Py,2.925,2.1343,3.946,3.692
Ag_33,Ag,Py,2.9375,2.1287,3.9665,3.7471
Ag_34,Ag,Py,2.925,2.1253,3.947,3.7056
Ag_35,Ag,Py,2.925,2.1294,3.3258,3.6853
Ag_36,Ag,Py,2.9625,2.1348,2.5009,
Ag_37,Ag,Py,2.9625,2.1366,3.1273,2.6031
Ag_38,Ag,Py,2.975,2.1379,4.6779,2.502
Ag_39,Ag,Py,2.9625,2.1408,3.1469,
Ag_40,Ag,Py,2.9625,2.1303,3.1616,
Ag_41,Ag,Py,2.9625,2.1264,3.1439,
Ag_42,Ag,Py,2.9625,2.1318,2.5038,
Au_43,Au,CN,3.175,1.9632,1.0064,
Au_44,Au,CN,3.15,1.9859,2.0558,
Au_45,Au,CN,3.175,1.9547,3.9795,
Au_46,Au,CN,3.175,1.9492,2.077,
Au_47,Au,CN,3.175,1.9712,2.098,
Au_48,Au,CN,3.175,1.9772,2.0684,
Au_49,Au,CN,3.1625,1.9839,1.0211,
Au_50,Au,CN,3.15,1.9785,0.9723,
Au_51,Au,CN,3.125,2.0021,2.0338,
Au_52,Au,CN,3.15,1.9703,3.9737,
Au_53,Au,CN,3.1625,1.9642,2.0539,
Au_54,Au,CN,3.15,1.9856,2.075,
Au_55,Au,CN,3.15,1.9911,2.0445,
Au_56,Au,CN,3.1375,1.9987,0.987,
Au_57,Au,CN,3.125,2.0036,0.933,
Au_58,Au,CN,3.0875,2.029,2.0114,
Au_59,Au,CN,3.1125,1.9956,3.9721,
Au_60,Au,CN,3.125,1.9883,2.0287,
Au_61,Au,CN,3.125,2.0093,2.0498,
Au_62,Au,CN,3.125,2.014,2.0189,
Au_63,Au,CN,3.1125,2.0233,0.948,
Au_64,Au,CN,3.1625,2.0025,0.0288,
Au_65,Au,CN,3.15,2.0224,1.0745,
Au_66,Au,CN,3.1625,1.9967,3.1318,
Au_67,Au,CN,3.15,1.9925,1.0954,
Au_68,Au,CN,3.1625,2.0069,1.1096,
Au_69,Au,CN,3.175,2.0102,1.0834,
Au_70,Au,CN,3.1625,2.0177,0.043,
Au_71,Au,Py,3.0625,2.0455,3.2356,3.7238
Au_72,Au,Py,3.075,2.0484,3.8367,2.605
Au_73,Au,Py,3.0625,2.0443,5.3023,2.5039
Au_74,Au,Py,3.075,2.0418,3.8484,3.7537
Au_75,Au,Py,3.0625,2.0452,3.8782,3.7373
Au_76,Au,Py,3.0625,2.0459,3.8619,3.7442
Au_77,Au,Py,3.0625,2.0471,3.2424,3.7282
Au_78,Au,Py,3.0625,2.0471,3.2424,3.7282
Au_79,Au,Py,3.075,2.0762,3.0816,2.6036
Au_80,Au,Py,3.075,2.075,4.6192,2.5017
Au_81,Au,Py,3.075,2.0746,3.096,
Au_82,Au,Py,3.0625,2.0724,3.1185,
Au_83,Au,Py,3.075,2.0711,3.1025,
Au_84,Au,Py,3.125,2.0741,3.0936,
Cu_1,Cu,CN,2.6625,1.8068,1.0304,
Cu_2,Cu,CN,2.6375,1.8241,2.0924,
Cu_3,Cu,CN,2.65,1.7995,3.8067,
Cu_4,Cu,CN,2.65,1.7949,3.3631,
Cu_5,Cu,CN,2.725,1.7922,2.2019,
Cu_6,Cu,CN,2.7,1.8435,1.025,
Cu_7,Cu,CN,2.7,1.8609,2.1403,
Cu_8,Cu,CN,2.7125,1.8358,4.0787,
Cu_9,Cu,CN,2.7,1.8304,3.5863,
Cu_10,Cu,CN,2.7,1.8221,2.1492,
Cu_11,Cu,CN,2.7,1.8536,0.9665,
Cu_12,Cu,CN,2.6875,1.8719,2.1252,
Cu_13,Cu,CN,2.7,1.847,4.0903,
Cu_14,Cu,CN,2.6875,1.8414,3.5932,
Cu_15,Cu,CN,2.7,1.831,2.1322,
Cu_16,Cu,CN,2.6875,1.869,0.9184,
Cu_17,Cu,CN,2.675,1.8883,2.1086,
Cu_18,Cu,CN,2.6875,1.8627,4.105,
Cu_19,Cu,CN,2.6625,1.8568,3.5979,
Cu_20,Cu,CN,2.6875,1.8462,2.115,
Cu_21,Cu,CN,2.7,1.8601,0.0122,
Cu_22,Cu,CN,2.7,1.8748,1.117,
Cu_23,Cu,CN,2.7125,1.8546,3.1733,
Cu_24,Cu,CN,2.6875,1.8502,2.6412,
Cu_25,Cu,CN,2.65,1.8412,1.1754,
Cu_26,Cu,Py,2.7375,1.8856,3.2098,2.2013
Cu_27,Cu,Py,2.7375,1.8871,3.8205,2.1774
Cu_28,Cu,Py,2.725,1.8836,3.7512,2.1751
Cu_29,Cu,Py,2.7,1.8809,4.9148,2.1682
Cu_30,Cu,Py,2.75,1.8857,3.848,2.2112
Cu_31,Cu,Py,2.7625,1.8877,3.8069,2.1884
Cu_32,Cu,Py,2.775,1.8885,3.9177,2.2624
Cu_33,Cu,Py,2.7125,1.9167,3.1609,2.5822
Cu_34,Cu,Py,2.7125,1.9183,3.7756,2.5627
Cu_35,Cu,Py,2.7125,1.916,5.2439,2.4787
Cu_36,Cu,Py,2.7,1.9145,4.8464,2.559
Cu_37,Cu,Py,2.7125,1.9161,3.8165,2.5853
Cu_38,Cu,Py,2.725,1.9172,3.7822,2.5668
Cu_39,Cu,Py,2.725,1.9155,3.7978,2.5842
Cu_40,Cu,Py,2.6875,1.9257,3.1352,2.7092
Cu_41,Cu,Py,2.6875,1.9274,3.7479,2.6023
Cu_42,Cu,Py,2.725,1.9304,5.2477,2.4942
Cu_43,Cu,Py,2.6875,1.9241,4.8098,2.6905
Cu_44,Cu,Py,2.6875,1.9248,3.7895,2.7134
Cu_45,Cu,Py,2.7,1.9255,3.7576,2.6968
Cu_46,Cu,Py,2.7,1.9234,3.7797,2.7092
Cu_47,Cu,Py,2.6625,1.939,3.0904,2.8993
Cu_48,Cu,Py,2.6625,1.9409,3.6937,2.6025
Cu_49,Cu,Py,2.6625,1.9397,5.1477,2.4736
Cu_50,Cu,Py,2.6625,1.9386,4.7453,2.8838
Cu_51,Cu,Py,2.6625,1.9377,3.7392,2.9035
Cu_52,Cu,Py,2.6625,1.9384,3.7155,2.8871
Cu_53,Cu,Py,2.675,1.9353,3.7315,2.9006
Cu_54,Cu,Py,2.6875,1.9235,2.3799,
Cu_55,Cu,Py,2.6875,1.9243,3.0171,2.6006
Cu_56,Cu,Py,2.6875,1.9234,4.5669,2.4587
Cu_57,Cu,Py,2.6875,1.9224,4.1321,
Cu_58,Cu,Py,2.6875,1.9225,3.057,
Cu_59,Cu,Py,2.6875,1.9231,3.0301,
Cu_60,Cu,Py,2.6875,1.9212,3.0438,
