dimer,Metal,Ligand,X,R,Y_Smiles,E,d,rho,laplacian,V,G,V_over_G,Metal_atomic_number,Metal_atomic_radius,Metal_electronegativity,Metal_polarizability,Metal_ionization_energy,X_atomic_number,X_atomic_radius,X_electronegativity,X_polarizability,X_ionization_energy,Shortest_M_N,Monomer_Slippage,HX_nearest,Mol,nAromAtom,nAromBond,nHetero,nN,nO,nF,nAtom,nHeavyAtom,nBase
Ag_1,Ag,CN,Cl,H,C#N,-6.16,3.038,0.0202,0.0575,-0.0155,0.0149,1.04,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.0693,1.0665,,<rdkit.Chem.rdchem.Mol object at 0x000001C8AD43CB10>,0,0,1,1,0,0,3,2,0
Ag_2,Ag,CN,Cl,F,FC#N,-6.57,3.013,0.0212,0.0607,-0.0167,0.0159,1.05,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.0885,2.131,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B29DDC30>,0,0,2,1,0,1,3,3,0
Ag_3,Ag,CN,Cl,CF3,FC(F)(F)C#N,-6.67,3.025,0.0208,0.0591,-0.0161,0.0155,1.039,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.065,4.0887,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B29DD810>,0,0,4,1,0,3,6,6,0
Ag_4,Ag,CN,Cl,NO2,O=[N+]([O-])C#N,-6.58,3.013,0.0213,0.0607,-0.0167,0.016,1.044,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.0594,2.1595,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10330>,0,0,4,2,2,0,5,5,0
Ag_5,Ag,CN,Cl,CH3,CC#N,-6.0,3.038,0.0201,0.0576,-0.0155,0.0149,1.04,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.0685,2.1696,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10390>,0,0,1,1,0,0,6,3,0
Ag_6,Ag,CN,Cl,NH2,NC#N,-5.5,3.038,0.02,0.0577,-0.0154,0.0149,1.034,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.069,2.1351,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A103F0>,0,0,2,2,0,0,5,3,0
Ag_7,Ag,CN,Cl,OH,OC#N,-6.16,3.025,0.0206,0.0592,-0.0161,0.0154,1.045,47,160.0,1.93,55.0,7.576234,17,100.0,3.16,14.6,12.96763,2.0795,1.0745,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10450>,0,0,2,1,1,0,4,3,0
Ag_8,Ag,CN,Br,H,C#N,-6.77,3.013,0.0213,0.0605,-0.0168,0.0159,1.057,47,160.0,1.93,55.0,7.576234,35,115.0,2.96,21.0,11.81381,2.0866,1.0339,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A104B0>,0,0,1,1,0,0,3,2,0
Ag_9,Ag,CN,Br,F,FC#N,-7.22,2.988,0.0223,0.0638,-0.0181,0.017,1.065,47,160.0,1.93,55.0,7.576234,35,115.0,2.96,21.0,11.81381,2.1056,2.1098,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10510>,0,0,2,1,0,1,3,3,0
Ag_10,Ag,CN,Br,CF3,FC(F)(F)C#N,-7.34,3.0,0.0219,0.0622,-0.0174,0.0165,1.055,47,160.0,1.93,55.0,7.576234,35,115.0,2.96,21.0,11.81381,2.0829,4.0853,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10570>,0,0,4,1,0,3,6,6,0
Ag_11,Ag,CN,Br,NO2,O=[N+]([O-])C#N,-7.26,3.0,0.0219,0.0621,-0.0174,0.0165,1.055,47,160.0,1.93,55.0,7.576234,35,115.0,2.96,21.0,11.81381,2.0768,2.1386,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A105D0>,0,0,4,2,2,0,5,5,0
Ag_12,Ag,CN,Br,CH3,CC#N,-6.6,3.013,0.0212,0.0606,-0.0167,0.0159,1.05,47,160.0,1.93,55.0,7.576234,35,115.0,2.96,21.0,11.81381,2.0834,2.1466,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10630>,0,0,1,1,0,0,6,3,0
Ag_13,Ag,CN,Br,NH2,NC#N,-6.08,3.025,0.0206,0.059,-0.0161,0.0154,1.045,47,160.0,1.93,55.0,7.576234,35,115.0,2.96,21.0,11.81381,2.0833,2.1115,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10690>,0,0,2,2,0,0,5,3,0
Ag_14,Ag,CN,Br,OH,OC#N,-6.79,3.013,0.0211,0.0605,-0.0167,0.0159,1.05,47,160.0,1.93,55.0,7.576234,35,115.0,2.96,21.0,11.81381,2.0945,1.0405,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A106F0>,0,0,2,1,1,0,4,3,0
Ag_15,Ag,CN,I,H,C#N,-7.8,3.0,0.0219,0.062,-0.0174,0.0165,1.055,47,160.0,1.93,55.0,7.576234,53,140.0,2.66,32.9,10.45126,2.1108,0.9937,,<rdkit.Chem.rdchem.Mol object at 0x000001C8B4A10750>,0,0,1,1,0,0,3,2,0
