dimer,Metal,Ligand,X,R,Y_Smiles,E,d,rho,laplacian,V,G,V_over_G
Ag_1,Ag,CN,Cl,H,C#N,-6.16,3.038,0.0202,0.0575,-0.0155,0.0149,1.04
Ag_2,Ag,CN,Cl,F,FC#N,-6.57,3.013,0.0212,0.0607,-0.0167,0.0159,1.05
Ag_3,Ag,CN,Cl,CF3,FC(F)(F)C#N,-6.67,3.025,0.0208,0.0591,-0.0161,0.0155,1.039
Ag_4,Ag,CN,Cl,NO2,O=[N+]([O-])C#N,-6.58,3.013,0.0213,0.0607,-0.0167,0.016,1.044
Ag_5,Ag,CN,Cl,CH3,CC#N,-6,3.038,0.0201,0.0576,-0.0155,0.0149,1.04
Ag_6,Ag,CN,Cl,NH2,NC#N,-5.5,3.038,0.02,0.0577,-0.0154,0.0149,1.034
Ag_7,Ag,CN,Cl,OH,OC#N,-6.16,3.025,0.0206,0.0592,-0.0161,0.0154,1.045
Ag_8,Ag,CN,Br,H,C#N,-6.77,3.013,0.0213,0.0605,-0.0168,0.0159,1.057
Ag_9,Ag,CN,Br,F,FC#N,-7.22,2.988,0.0223,0.0638,-0.0181,0.017,1.065
Ag_10,Ag,CN,Br,CF3,FC(F)(F)C#N,-7.34,3,0.0219,0.0622,-0.0174,0.0165,1.055
Ag_11,Ag,CN,Br,NO2,O=[N+]([O-])C#N,-7.26,3,0.0219,0.0621,-0.0174,0.0165,1.055
Ag_12,Ag,CN,Br,CH3,CC#N,-6.6,3.013,0.0212,0.0606,-0.0167,0.0159,1.05
Ag_13,Ag,CN,Br,NH2,NC#N,-6.08,3.025,0.0206,0.059,-0.0161,0.0154,1.045
Ag_14,Ag,CN,Br,OH,OC#N,-6.79,3.013,0.0211,0.0605,-0.0167,0.0159,1.05
Ag_15,Ag,CN,I,H,C#N,-7.8,3,0.0219,0.062,-0.0174,0.0165,1.055
Ag_16,Ag,CN,I,F,FC#N,-8.28,2.975,0.023,0.0655,-0.0188,0.0176,1.068
Ag_17,Ag,CN,I,CF3,FC(F)(F)C#N,-8.45,2.988,0.0218,0.0622,-0.0174,0.0165,1.055
Ag_18,Ag,CN,I,NO2,O=[N+]([O-])C#N,-8.34,2.988,0.0226,0.0636,-0.0181,0.017,1.065
Ag_19,Ag,CN,I,CH3,CC#N,-7.65,3,0.0218,0.0622,-0.0174,0.0165,1.055
Ag_20,Ag,CN,I,NH2,NC#N,-7.19,3.013,0.0212,0.0605,-0.0167,0.0159,1.05
Ag_21,Ag,CN,I,OH,OC#N,-7.79,3,0.0218,0.0621,-0.0174,0.0164,1.061
Ag_22,Ag,CN,CN,H,C#N,-5.48,3.075,0.0192,0.053,-0.0141,0.0137,1.029
Ag_23,Ag,CN,CN,F,FC#N,-5.64,3.063,0.0197,0.0544,-0.0146,0.0141,1.035
Ag_24,Ag,CN,CN,CF3,FC(F)(F)C#N,-5.77,3.05,0.0202,0.056,-0.0152,0.0146,1.041
Ag_25,Ag,CN,CN,NO2,O=[N+]([O-])C#N,-5.62,3.05,0.0203,0.0559,-0.0152,0.0146,1.041
Ag_26,Ag,CN,CN,CH3,CC#N,-5.54,3.075,0.0192,0.0531,-0.014,0.0136,1.029
Ag_27,Ag,CN,CN,NH2,NC#N,-5.18,3.075,0.0191,0.0532,-0.014,0.0136,1.029
Ag_28,Ag,CN,CN,OH,OC#N,-5.66,3.063,0.0196,0.0546,-0.0145,0.0141,1.028
Ag_29,Ag,Py,Cl,H,n1ccccc1,-10.31,2.925,0.0254,0.0739,-0.0221,0.0203,1.089
Ag_30,Ag,Py,Cl,F,n1ccc(F)cc1,-10.54,2.925,0.0254,0.0739,-0.0221,0.0203,1.089
Ag_31,Ag,Py,Cl,CF3,n1ccc(C(F)(F)F)cc1,-10.65,2.925,0.0255,0.0738,-0.0221,0.0203,1.089
Ag_32,Ag,Py,Cl,NO2,n1ccc([N+](=O)[O-])cc1,-10.72,2.925,0.0255,0.0738,-0.0221,0.0203,1.089
Ag_33,Ag,Py,Cl,CH3,n1ccc(C)cc1,-9.89,2.938,0.0248,0.0718,-0.0213,0.0196,1.087
Ag_34,Ag,Py,Cl,NH2,n1ccc(N)cc1,-9.44,2.925,0.0253,0.0739,-0.022,0.0203,1.084
Ag_35,Ag,Py,Cl,OH,n1ccc(O)cc1,-10.13,2.925,0.0254,0.0739,-0.0221,0.0203,1.089
Ag_36,Ag,Py,CN,H,n1ccccc1,-9.73,2.963,0.0241,0.0681,-0.0199,0.0185,1.076
Ag_37,Ag,Py,CN,F,n1ccc(F)cc1,-9.67,2.963,0.0241,0.0681,-0.0199,0.0185,1.076
Ag_38,Ag,Py,CN,CF3,n1ccc(C(F)(F)F)cc1,-9.44,2.975,0.0236,0.0662,-0.0192,0.0179,1.073
Ag_39,Ag,Py,CN,NO2,n1ccc([N+](=O)[O-])cc1,-9.61,2.963,0.0242,0.0681,-0.02,0.0185,1.081
Ag_40,Ag,Py,CN,CH3,n1ccc(C)cc1,-9.37,2.963,0.0241,0.0681,-0.0199,0.0185,1.076
Ag_41,Ag,Py,CN,NH2,n1ccc(N)cc1,-9.3,2.963,0.024,0.0682,-0.0199,0.0185,1.076
Ag_42,Ag,Py,CN,OH,n1ccc(O)cc1,-9.6,2.963,0.024,0.0682,-0.0199,0.0185,1.076
Au_43,Au,CN,Cl,H,C#N,-4.43,3.188,0.0217,0.0543,-0.0141,0.0138,1.022
Au_44,Au,CN,Cl,F,FC#N,-4.83,3.15,0.0231,0.0596,-0.0154,0.0152,1.013
Au_45,Au,CN,Cl,CF3,FC(F)(F)C#N,-4.92,3.175,0.0222,0.0561,-0.0145,0.0143,1.014
Au_46,Au,CN,Cl,NO2,O=[N+]([O-])C#N,-4.81,3.175,0.0222,0.0561,-0.0145,0.0143,1.014
Au_47,Au,CN,Cl,CH3,CC#N,-4.25,3.175,0.0221,0.056,-0.0145,0.0142,1.021
Au_48,Au,CN,Cl,NH2,NC#N,-3.57,3.175,0.022,0.056,-0.0144,0.0142,1.014
Au_49,Au,CN,Cl,OH,OC#N,-4.35,3.163,0.0225,0.0577,-0.0149,0.0147,1.014
Au_50,Au,CN,Br,H,C#N,-4.92,3.15,0.0232,0.0596,-0.0154,0.0152,1.013
Au_51,Au,CN,Br,F,FC#N,-5.38,3.125,0.0242,0.0633,-0.0164,0.0161,1.019
Au_52,Au,CN,Br,CF3,FC(F)(F)C#N,-5.48,3.15,0.0232,0.0596,-0.0155,0.0152,1.02
Au_53,Au,CN,Br,NO2,O=[N+]([O-])C#N,-5.38,3.163,0.0227,0.0577,-0.015,0.0147,1.02
Au_54,Au,CN,Br,CH3,CC#N,-4.78,3.15,0.0231,0.0595,-0.0154,0.0152,1.013
Au_55,Au,CN,Br,NH2,NC#N,-4.1,3.15,0.023,0.0595,-0.0154,0.0151,1.02
Au_56,Au,CN,Br,OH,OC#N,-4.89,3.138,0.0236,0.0613,-0.0159,0.0156,1.019
Au_57,Au,CN,I,H,C#N,-5.79,3.125,0.0243,0.0633,-0.0165,0.0162,1.019
Au_58,Au,CN,I,F,FC#N,-6.29,3.088,0.026,0.0694,-0.0182,0.0178,1.022
Au_59,Au,CN,I,CF3,FC(F)(F)C#N,-6.4,3.113,0.0249,0.0654,-0.0171,0.0167,1.024
Au_60,Au,CN,I,NO2,O=[N+]([O-])C#N,-6.27,3.125,0.0244,0.0633,-0.0165,0.0162,1.019
Au_61,Au,CN,I,CH3,CC#N,-5.69,3.125,0.0243,0.0632,-0.0165,0.0162,1.019
Au_62,Au,CN,I,NH2,NC#N,-5.01,3.125,0.0242,0.0632,-0.0165,0.0161,1.025
Au_63,Au,CN,I,OH,OC#N,-5.8,3.113,0.0248,0.0652,-0.017,0.0167,1.018
Au_64,Au,CN,CN,H,C#N,-4.47,3.163,0.0229,0.0581,-0.015,0.0148,1.014
Au_65,Au,CN,CN,F,FC#N,-4.7,3.15,0.0234,0.0598,-0.0155,0.0152,1.02
Au_66,Au,CN,CN,CF3,FC(F)(F)C#N,-4.8,3.163,0.023,0.0581,-0.0151,0.0148,1.02
Au_67,Au,CN,CN,NO2,O=[N+]([O-])C#N,-4.61,3.15,0.0235,0.0599,-0.0155,0.0152,1.02
Au_68,Au,CN,CN,CH3,CC#N,-4.55,3.163,0.0228,0.058,-0.015,0.0148,1.014
Au_69,Au,CN,CN,NH2,NC#N,-4.03,3.175,0.0223,0.0562,-0.0145,0.0143,1.014
Au_70,Au,CN,CN,OH,OC#N,-4.58,3.163,0.0228,0.058,-0.015,0.0148,1.014
Au_71,Au,Py,Cl,H,n1ccccc1,-7.53,3.063,0.0274,0.0743,-0.0196,0.0191,1.026
Au_72,Au,Py,Cl,F,n1ccc(F)cc1,-7.51,3.075,0.0268,0.072,-0.019,0.0185,1.027
Au_73,Au,Py,Cl,CF3,n1ccc(C(F)(F)F)cc1,-8.13,3.063,0.0274,0.0743,-0.0196,0.0191,1.026
Au_74,Au,Py,Cl,NO2,n1ccc([N+](=O)[O-])cc1,-7.97,3.075,0.0268,0.0721,-0.019,0.0185,1.027
Au_75,Au,Py,Cl,CH3,n1ccc(C)cc1,-7.33,3.063,0.0273,0.0743,-0.0196,0.0191,1.026
Au_76,Au,Py,Cl,NH2,n1ccc(N)cc1,-6.57,3.063,0.0273,0.0742,-0.0196,0.0191,1.026
Au_77,Au,Py,Cl,OH,n1ccc(O)cc1,-7.32,3.063,0.0273,0.0743,-0.0196,0.0191,1.026
Au_78,Au,Py,CN,H,n1ccccc1,-7.82,3.075,0.027,0.0722,-0.0191,0.0186,1.027
Au_79,Au,Py,CN,F,n1ccc(F)cc1,-7.86,3.075,0.027,0.0723,-0.0191,0.0186,1.027
Au_80,Au,Py,CN,CF3,n1ccc(C(F)(F)F)cc1,-8.05,3.075,0.0271,0.0723,-0.0191,0.0186,1.027
Au_81,Au,Py,CN,NO2,n1ccc([N+](=O)[O-])cc1,-8.05,3.075,0.0271,0.0723,-0.0191,0.0186,1.027
Au_82,Au,Py,CN,CH3,n1ccc(C)cc1,-7.86,3.063,0.0276,0.0745,-0.0197,0.0192,1.026
Au_83,Au,Py,CN,NH2,n1ccc(N)cc1,-7.2,3.075,0.0269,0.0722,-0.019,0.0185,1.027
Au_84,Au,Py,CN,OH,n1ccc(O)cc1,-7.66,3.075,0.027,0.0722,-0.0191,0.0186,1.027
Cu_1,Cu,CN,F,H,C#N,-6.64,2.6625,0.02385,0.05577,-0.02088,0.01646,1.153
Cu_2,Cu,CN,F,F,FC#N,-8.08,2.6375,0.02491,0.0607,-0.02251,0.01782,1.148
